Country Name	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
Albania	0.33601202	2.16825011	3.13935209	3.62253724	4.42003769	5.53517694	6.32335001	7.21070198	8.42573062	9.24585821	10.5444449	12.5806522	15.1777873	17.7524933	19.5954756	20.4800936
Andorra	23.7002354	27.18033	31.0634783	34.2594276	36.508049	37.8879626	38.8616428	40.1692218	42.7814791	44.7890819	46.4326345	47.542426	47.6245366	48.4555985	49.8506972	51.1287332
Austria	19.5546035	20.7784229	22.516342	24.518019	24.9988083	25.2703676	26.3280822	27.603344	28.4121776	28.8823185	28.5467592	28.5187102	28.3661827	29.255335	29.0515151	29.3215806
Belgium	25.6213806	27.8044091	29.193205	31.0090067	32.3461341	33.4689706	34.4846382	35.8888826	36.6370699	37.7341246	38.4643757	39.3318971	39.882541	40.9472954	42.3779262	43.5129672
Bulgaria	8.1496705	10.9910301	13.0722922	14.8140504	16.6614655	17.7842524	19.129593	20.0876353	22.0889984	23.4280443	25.0149671	26.7504666	28.5680661	30.3053198	32.7277113	35.1194118
Bosnia and Herzegovina	2.11311428	4.77913431	7.53305396	10.256966	11.4942741	12.7748836	14.2666407	15.1888735	18.0172708	19.0310447	20.3587646	21.0687889	22.1943148	23.216682	24.393363	27.0763557
Central Europe and the Baltics	11.4641443	13.4400658	15.8824463	17.1317176	19.2173952	19.9003669	20.9935979	21.7514415	22.429141	23.2181457	24.2605434	25.2903306	26.3462866	27.6199727	28.9659287	29.5807948
Czechia	14.4780882	16.95401	19.5375718	21.6075799	23.9044364	25.2779357	27.1639534	28.4754795	27.9996442	29.161185	29.8737051	30.5928763	35.4907448	36.5154572	37.569593	38.1479545
Germany	24.3292291	27.9621277	30.7216479	32.1695924	33.4757617	34.2835322	35.0658102	36.1266094	37.4146728	38.6995624	40.2209389	41.1983042	42.3237568	43.4606298	44.2167646	44.9802934
Denmark	34.7379119	36.4486963	36.6004988	38.0555548	38.4368876	38.9137755	40.3954823	41.4422796	42.3573161	43.1306234	43.781535	43.9750664	43.7639992	44.4634676	44.6880039	44.8421619
