Country,Year,MobileBroadbandPenetration
Slovak Republic,2010,20.79
Slovak Republic,2011,32.352
Slovak Republic,2012,35.427
Slovak Republic,2013,50.428
Slovak Republic,2014,59.91
Slovak Republic,2015,67.973
Slovak Republic,2016,79.188
Slovak Republic,2017,82.779
Slovak Republic,2018,86.093
Slovak Republic,2019,89.212
Slovak Republic,2020,88.333
Slovak Republic,2021,88.848
Slovak Republic,2022,88.995
Denmark,2010,63.921
Denmark,2011,83.506
Denmark,2012,97.336
Denmark,2013,102.264
Denmark,2014,109.632
Denmark,2015,117.204
Denmark,2016,123.202
Denmark,2017,128.778
Denmark,2018,139.675
Denmark,2019,136.396
Denmark,2020,137.774
Denmark,2021,141.701
Denmark,2022,141.775
Greece,2010,25.056
Greece,2011,30.565
Greece,2012,34.631
Greece,2013,36.601
Greece,2014,41.496
Greece,2015,46.935
Greece,2016,52.981
Greece,2017,65.785
Greece,2018,79.789
Greece,2019,85.085
Greece,2020,86.284
Greece,2021,92.81
Greece,2022,98.269
Ireland,2010,44.458
Ireland,2011,58.704
Ireland,2012,63.986
Ireland,2013,67.259
Ireland,2014,81.416
Ireland,2015,97.286
Ireland,2016,100.329
Ireland,2017,101.106
Ireland,2018,102.908
Ireland,2019,104.443
Ireland,2020,103.644
Ireland,2021,107.963
Ireland,2022,115.976
Portugal,2010,24.271
Portugal,2011,27.7
Portugal,2012,33.039
Portugal,2013,37.272
Portugal,2014,49.052
Portugal,2015,53.308
Portugal,2016,62.73
Portugal,2017,69.074
Portugal,2018,73.645
Portugal,2019,78.698
Portugal,2020,80.046
Portugal,2021,88.586
Portugal,2022,95.714
Norway,2010,65.351
Norway,2011,62.763
Norway,2012,79.262
Norway,2013,84.344
Norway,2014,87.997
Norway,2015,94.602
Norway,2016,95.73
Norway,2017,98.327
Norway,2018,99.663
Norway,2019,102.298
Norway,2020,102.353
Norway,2021,104.043
Norway,2022,102.864
Czechia,2010,5.157
Czechia,2011,38.155
Czechia,2012,45.009
Czechia,2013,53.288
Czechia,2014,68.073
Czechia,2015,73.597
Czechia,2016,80.737
Czechia,2017,82.881
Czechia,2018,88.306
Czechia,2019,92.682
Czechia,2020,94.473
Czechia,2021,97.535
Czechia,2022,103.142
