Country Name,Year,FixedBroadbandPenetration,MobileBroadbandPenetration
Austria,2010,24.518019,33.015
Belgium,2010,31.0090067,9.55
Czechia,2010,21.6075799,5.157
Germany,2010,32.1695924,26.406
Denmark,2010,38.0555548,63.921
France,2010,34.1695059,35.525
United Kingdom,2010,30.5154495,46.804
Greece,2010,20.4159625,25.056
Hungary,2010,21.6226979,7.775
Ireland,2010,22.5427083,44.458
Iceland,2010,34.3074705,45.633
Italy,2010,21.8948371,38.217
Luxembourg,2010,33.2040941,49.993
Latvia,2010,20.6933044,36.365
Netherlands,2010,38.0872326,38.008
Norway,2010,35.2443003,65.351
Poland,2010,15.1784968,47.998
Portugal,2010,20.0850818,24.271
Slovak Republic,2010,16.2506319,20.79
Slovenia,2010,22.8712266,24.192
Sweden,2010,31.9721096,83.812
Austria,2011,24.9988083,46.003
Belgium,2011,32.3461341,18.856
Czechia,2011,23.9044364,38.155
Germany,2011,33.4757617,35.628
Denmark,2011,38.4368876,83.506
France,2011,36.2387939,42.469
United Kingdom,2011,32.5329192,55.667
Greece,2011,22.3929469,30.565
Hungary,2011,23.239579,17.197
Ireland,2011,23.5620148,58.704
Iceland,2011,34.9472115,57.944
Italy,2011,22.5214421,44.941
Lithuania,2011,23.475691,34.411
Luxembourg,2011,32.7578222,63.881
Latvia,2011,22.0234822,40.921
Netherlands,2011,38.9067922,52.519
Norway,2011,36.0483297,62.763
Poland,2011,18.0527631,49.673
Portugal,2011,21.2311684,27.7
Slovak Republic,2011,17.6412077,32.352
Slovenia,2011,23.935282,29.019
Sweden,2011,31.9777641,97.267
Austria,2012,25.2703676,58.056
Belgium,2012,33.4689706,32.758
Czechia,2012,25.2779357,45.009
Germany,2012,34.2835322,41.799
Denmark,2012,38.9137755,97.336
France,2012,38.0203926,49.964
United Kingdom,2012,33.9854265,67.944
Greece,2012,24.5304431,34.631
Hungary,2012,24.1484008,23.159
Ireland,2012,24.3634531,63.986
Iceland,2012,35.335645,71.505
Italy,2012,22.8664705,50.484
Lithuania,2012,25.0987729,49.208
Luxembourg,2012,31.9835653,79.417
Latvia,2012,23.1852675,54.462
Netherlands,2012,39.6418318,61.17
Norway,2012,37.0134145,79.262
Poland,2012,17.8317674,58.026
Portugal,2012,22.7215212,33.039
Slovak Republic,2012,19.3277002,35.427
Slovenia,2012,24.6132851,35.34
Sweden,2012,32.1596712,104.786
Austria,2013,26.3280822,64.479
Belgium,2013,34.4846382,51.258
Czechia,2013,27.1639534,53.288
Germany,2013,35.0658102,54.786
Denmark,2013,40.3954823,102.264
France,2013,39.3777992,55.383
United Kingdom,2013,35.830451,71.804
Greece,2013,26.6910019,36.601
Hungary,2013,26.2481404,26.476
Ireland,2013,25.9153528,67.259
Iceland,2013,36.2525615,75.988
Italy,2013,23.2339117,61.165
Lithuania,2013,27.6138551,64.796
Luxembourg,2013,32.5006537,86.063
Latvia,2013,24.4156248,74.297
Netherlands,2013,40.2671386,64.193
Norway,2013,37.6076532,84.344
Poland,2013,18.2116997,54.532
Portugal,2013,24.4956513,37.272
Slovak Republic,2013,20.482243,50.428
Slovenia,2013,25.3149769,37.906
Sweden,2013,32.6213824,109.964
Austria,2014,27.603344,67.056
Belgium,2014,35.8888826,53.459
Czechia,2014,28.4754795,68.073
Germany,2014,36.1266094,64.922
Denmark,2014,41.4422796,109.632
France,2014,40.8391512,64.711
United Kingdom,2014,36.6350414,76.213
Greece,2014,29.0534844,41.496
Hungary,2014,26.1508197,34.267
Ireland,2014,27.2330706,81.416
Iceland,2014,36.5173786,86.803
Italy,2014,23.842542,72.205
Lithuania,2014,26.7740416,72.061
Luxembourg,2014,33.5929534,84.184
Latvia,2014,25.1113976,73.429
Netherlands,2014,40.4091499,68.989
Norway,2014,38.4810869,87.997
Poland,2014,18.7493598,55.292
Portugal,2014,27.4565129,49.052
Slovak Republic,2014,21.9799028,59.91
Slovenia,2014,26.7873366,44.292
Sweden,2014,33.6640709,115.552
Austria,2015,28.4121776,69.897
Belgium,2015,36.6370699,61.56
Czechia,2015,27.9996442,73.597
Germany,2015,37.4146728,71.579
